fecha,producto_id,cantidad,total_venta
2024-01-19,P001,18,3386
2024-01-14,P098,4,1093
2024-01-15,P013,1,444
2024-05-11,P083,7,422
2024-07-29,P084,2,456
2024-03-04,P049,16,5508
2024-04-25,P045,14,442
2024-09-20,P008,6,1052
2024-10-23,P011,3,336
2024-12-28,P074,5,568
2024-01-18,P006,16,2379
2024-04-05,P045,17,6047
2024-07-02,P095,5,979
2024-04-04,P063,10,4014
2024-01-28,P031,11,4766
2024-12-23,P014,15,6473
2024-12-24,P003,13,5692
2024-12-27,P024,9,2630
2024-02-14,P038,10,2348
2024-03-16,P082,2,943
2024-03-12,P090,16,3828
2024-07-16,P038,19,373
2024-08-28,P017,11,2032
2024-05-30,P065,4,813
2024-10-22,P014,17,6821
2024-05-28,P043,4,1516
2024-07-12,P011,18,4809
2024-02-26,P008,19,385
2024-11-11,P065,16,1345
2024-07-11,P037,3,1083
2024-08-14,P050,20,3770
2024-11-17,P051,18,3758
2024-09-09,P067,14,5705
2024-08-26,P075,13,6360
2024-10-31,P075,3,803
2024-06-17,P044,17,6942
2024-06-27,P061,16,1550
2024-03-05,P012,17,3473
2024-11-04,P013,17,5189
2024-12-10,P050,14,3206
2024-11-19,P024,12,3554
2024-11-14,P046,20,3507
2024-07-08,P093,6,1891
2024-12-29,P038,17,6723
2024-08-25,P016,12,3442
2024-05-06,P079,16,2572
2024-12-24,P081,16,1182
2024-06-10,P080,4,1222
2024-10-20,P056,18,6288
2024-10-08,P033,5,269
2024-05-28,P008,10,2661
2024-12-19,P061,12,1663
2024-12-09,P070,5,734
2024-08-14,P073,14,6843
2024-04-20,P013,6,321
2024-09-27,P021,8,3258
2024-12-25,P042,19,545
2024-01-31,P026,9,946
2024-07-07,P047,14,6659
2024-02-14,P008,3,1180
2024-12-15,P065,7,513
2024-10-09,P096,18,6878
2024-08-05,P068,14,4320
2024-11-27,P064,19,2671
2024-09-15,P024,18,3947
2024-11-04,P054,7,2723
2024-06-01,P062,17,1945
2024-10-10,P086,20,1096
2024-07-14,P091,16,4615
2024-02-20,P069,13,5004
2024-02-08,P008,18,2777
2024-09-29,P092,18,1496
2024-05-05,P063,20,2141
2024-09-30,P054,6,1121
2024-01-03,P052,2,281
2024-10-07,P054,17,5993
2024-03-01,P057,5,1212
2024-06-22,P068,12,2018
2024-03-16,P035,18,6197
2024-04-23,P058,13,4930
2024-07-24,P039,3,116
2024-03-29,P037,8,1366
2024-12-16,P052,17,7960
2024-05-20,P004,17,4952
2024-11-28,P052,7,1206
2024-11-26,P050,13,1671
2024-06-16,P091,1,252
2024-11-06,P049,11,1258
2024-01-22,P075,19,1523
2024-03-18,P057,15,7240
2024-11-07,P024,13,3741
2024-07-10,P008,10,958
2024-10-08,P059,19,7429
2024-07-01,P016,10,2827
2024-12-12,P092,11,3662
2024-05-23,P066,19,993
2024-11-05,P046,15,2399
2024-02-13,P081,8,1880
2024-08-10,P047,2,645
2024-02-14,P036,10,3318
2024-02-05,P021,19,2290
2024-08-24,P082,1,275
2024-05-03,P082,13,1937
2024-09-07,P032,5,1394
2024-09-23,P018,5,845
2024-01-11,P029,9,2513
2024-02-19,P069,9,2165
2024-10-23,P100,10,3786
2024-02-07,P096,18,7232
2024-03-01,P029,12,4060
2024-02-15,P067,4,673
2024-11-14,P055,13,4003
2024-03-04,P068,8,1764
2024-05-02,P098,6,2806
2024-10-28,P054,15,6750
2024-10-15,P097,17,3430
2024-12-10,P094,12,5918
2024-10-18,P058,16,4600
2024-08-13,P010,3,399
2024-02-19,P005,4,1600
2024-08-24,P046,18,833
2024-12-06,P090,1,364
2024-09-24,P088,10,2377
2024-07-09,P062,11,1805
2024-05-12,P080,14,4693
2024-12-10,P029,6,1529
2024-11-02,P069,9,664
2024-12-01,P069,7,3351
2024-01-16,P004,14,921
2024-06-03,P090,16,213
2024-11-20,P014,6,2640
2024-12-13,P022,12,5972
2024-01-07,P029,15,5323
2024-10-18,P004,17,3486
2024-06-07,P074,6,808
2024-07-08,P059,17,5355
2024-01-07,P046,1,313
2024-04-27,P087,20,6948
2024-06-06,P065,17,2093
2024-04-27,P070,6,2809
2024-05-21,P080,14,1856
2024-10-20,P078,7,1926
2024-10-11,P007,3,529
2024-07-13,P013,16,2209
2024-03-20,P024,3,68
2024-02-19,P036,4,433
2024-09-21,P037,12,460
2024-11-27,P008,17,3725
2024-05-12,P081,8,2007
2024-02-18,P026,3,1195
2024-05-22,P016,4,411
2024-05-15,P049,10,534
2024-04-29,P044,19,5006
2024-05-09,P004,18,2216
2024-08-17,P021,11,3920
2024-02-10,P058,17,5772
2024-08-24,P046,14,660
2024-07-13,P037,4,148
2024-10-25,P100,3,389
2024-03-02,P091,1,386
2024-10-31,P071,16,7238
2024-09-05,P044,15,2988
2024-11-10,P084,11,2993
2024-02-14,P073,16,5933
2024-03-02,P044,3,668
2024-12-27,P034,2,333
2024-12-06,P043,12,1829
2024-01-11,P063,1,475
2024-03-09,P091,15,4359
2024-11-14,P090,15,680
2024-07-19,P079,12,3696
2024-04-22,P031,7,2905
2024-06-16,P094,9,851
2024-10-13,P100,16,3474
2024-09-07,P076,9,3288
2024-12-19,P062,9,3220
2024-02-03,P085,18,7143
2024-05-29,P027,5,1907
2024-07-20,P083,14,1480
2024-09-27,P047,20,3900
2024-02-02,P085,1,200
2024-02-29,P011,6,1932
2024-07-08,P037,12,2994
2024-04-07,P091,19,8505
2024-01-22,P017,14,2376
2024-04-29,P052,9,1794
2024-05-02,P009,1,421
2024-12-21,P021,15,4075
2024-07-19,P019,15,5015
2024-01-17,P008,14,1842
2024-09-15,P029,8,2935
2024-02-10,P029,1,71
2024-06-28,P073,5,1747
2024-10-03,P060,4,468
2024-10-18,P030,5,1253
2024-12-29,P065,16,374
2024-08-01,P093,3,689
2024-01-18,P088,13,3934
2024-01-15,P037,4,1337
2024-12-21,P052,6,1653
2024-03-27,P067,14,1389
2024-12-22,P005,3,1130
2024-02-27,P063,1,340
2024-09-15,P030,1,333
2024-01-15,P088,9,3283
2024-02-05,P061,11,4690
2024-02-09,P015,16,2232
2024-07-26,P008,18,6073
2024-01-05,P095,20,4867
2024-07-30,P038,12,402
2024-11-17,P040,14,1736
2024-05-14,P038,16,3853
2024-03-28,P010,9,1372
2024-04-14,P024,16,1876
2024-08-16,P031,9,201
2024-09-22,P098,16,5505
2024-04-16,P005,15,1561
2024-11-25,P086,14,6202
2024-05-08,P075,16,6119
2024-08-03,P038,3,440
2024-11-04,P092,15,5428
2024-11-27,P050,9,2809
2024-04-03,P084,16,1203
2024-08-19,P054,15,4181
2024-03-31,P096,1,414
2024-04-06,P015,14,6292
2024-07-22,P021,13,5981
2024-11-17,P083,12,5793
2024-06-21,P030,19,3565
2024-03-04,P090,11,1137
2024-08-31,P022,3,913
2024-10-13,P030,7,318
2024-04-20,P029,8,3007
2024-11-04,P014,11,934
2024-07-10,P100,15,2075
2024-03-29,P084,18,2155
2024-03-07,P055,11,3253
2024-09-21,P057,5,1744
2024-05-26,P020,4,1597
2024-11-09,P100,7,1844
2024-11-04,P075,13,4024
2024-11-12,P027,3,1408
2024-08-23,P072,1,499
2024-09-03,P009,3,813
2024-10-07,P040,17,4669
2024-07-21,P006,11,704
2024-09-28,P062,10,4725
2024-10-13,P015,4,1433
2024-09-19,P014,5,332
2024-05-12,P033,13,1172
2024-07-22,P059,20,2309
2024-11-03,P097,15,3996
2024-06-08,P067,2,491
2024-10-14,P081,12,3073
2024-02-15,P008,6,579
2024-06-24,P034,13,5656
2024-07-14,P080,15,2432
2024-10-16,P069,6,508
2024-05-03,P044,10,2510
2024-02-26,P021,14,5314
2024-05-04,P080,7,353
2024-02-12,P087,6,491
2024-10-09,P010,2,404
2024-10-15,P064,16,3777
2024-07-11,P029,17,190
2024-12-23,P062,13,6242
2024-05-22,P026,18,3450
2024-04-18,P046,5,2416
2024-05-12,P055,15,1260
2024-05-10,P055,18,5117
2024-06-29,P045,5,1259
2024-09-29,P059,20,3128
2024-12-14,P022,12,5816
2024-03-21,P022,17,611
2024-08-09,P055,9,4401
2024-05-03,P010,12,4050
2024-05-06,P034,5,2134
2024-10-24,P008,11,1515
2024-06-17,P008,19,848
2024-11-21,P006,1,336
2024-09-21,P029,4,1807
2024-10-02,P098,10,4258
2024-07-17,P059,12,4007
2024-11-08,P094,9,4287
2024-02-08,P059,9,428
2024-09-25,P002,14,5494
2024-02-04,P059,14,4681
2024-01-30,P063,1,329
2024-12-23,P046,5,2173
2024-08-07,P018,2,86
2024-02-08,P030,14,6468
2024-04-19,P006,11,3986
2024-10-21,P004,5,705
2024-12-30,P082,7,2955
2024-05-15,P062,17,2401
2024-01-26,P078,13,5558
2024-08-04,P067,12,1843
2024-06-05,P062,12,5708
2024-06-18,P019,13,1963
2024-01-14,P098,8,3037
2024-05-05,P018,14,193
2024-02-27,P074,11,882
2024-03-28,P057,12,5609
2024-09-22,P038,4,1272
2024-01-21,P025,17,1425
2024-04-29,P096,7,682
2024-01-08,P019,7,1947
2024-04-29,P003,15,3231
2024-03-01,P097,7,303
2024-11-15,P078,12,5848
2024-11-10,P083,10,3642
2024-04-11,P025,7,1926
2024-01-12,P061,9,1722
2024-04-20,P040,12,5679
2024-07-31,P069,7,1782
2024-03-02,P042,15,6586
2024-07-08,P045,15,5401
2024-06-28,P057,13,3540
2024-10-23,P078,4,1684
2024-03-02,P002,8,274
2024-11-29,P066,7,1642
2024-01-12,P027,17,2892
2024-06-13,P043,4,611
2024-10-07,P079,2,778
2024-07-08,P100,8,3627
2024-11-28,P061,11,5186
2024-12-27,P077,1,393
2024-07-28,P032,14,1472
2024-08-12,P020,13,3692
2024-09-17,P011,6,984
2024-09-09,P097,15,6141
2024-07-07,P080,3,614
2024-10-18,P066,13,2120
2024-01-22,P014,4,957
2024-09-23,P060,5,531
2024-04-25,P020,15,3356
2024-12-15,P020,5,1228
2024-07-22,P042,2,785
2024-05-07,P014,17,2637
2024-09-09,P060,15,2193
2024-11-25,P037,8,522
2024-10-17,P017,7,1443
2024-02-18,P067,17,5312
2024-08-26,P015,13,2356
2024-12-10,P070,14,417
2024-07-28,P078,10,1983
2024-01-17,P007,8,1109
2024-06-02,P051,3,1042
2024-09-11,P092,9,304
2024-04-27,P029,7,2649
2024-02-24,P033,13,2901
2024-06-03,P047,5,87
2024-09-04,P060,8,1499
2024-05-15,P075,18,6532
2024-02-20,P093,6,215
2024-02-07,P013,20,6792
2024-02-24,P003,8,3943
2024-04-12,P041,8,2588
2024-09-09,P099,5,1375
2024-12-10,P032,9,4237
2024-05-10,P003,9,3265
2024-08-15,P091,7,1973
2024-11-08,P033,8,3690
2024-03-02,P042,8,458
2024-03-17,P014,15,1329
2024-09-23,P099,11,2263
2024-04-02,P085,13,6493
2024-12-02,P076,3,1065
2024-01-23,P095,2,386
2024-08-24,P002,17,604
2024-04-07,P050,12,5882
2024-12-13,P029,13,848
2024-11-16,P100,19,4977
2024-07-31,P014,13,2249
2024-11-06,P050,19,7497
2024-09-13,P005,6,2082
2024-05-18,P019,5,318
2024-01-19,P092,7,841
2024-02-05,P007,6,1607
2024-09-07,P036,20,4148
2024-07-06,P035,4,389
2024-08-08,P084,4,744
2024-06-23,P001,20,3468
2024-09-17,P078,5,322
2024-10-05,P018,12,1416
2024-04-12,P009,16,1801
2024-06-06,P053,5,2178
2024-05-13,P083,13,1161
2024-10-22,P093,3,983
2024-06-02,P016,17,3097
2024-03-01,P050,9,3965
2024-07-02,P037,16,1485
2024-02-16,P014,1,280
2024-06-03,P066,19,8725
2024-05-17,P089,8,3637
2024-04-22,P009,11,716
2024-03-02,P035,14,1126
2024-10-07,P033,18,5476
2024-05-18,P016,20,6563
2024-11-25,P033,15,6012
2024-11-19,P063,19,4893
2024-12-23,P006,8,1272
2024-08-29,P004,6,460
2024-04-07,P084,3,95
2024-09-24,P075,9,3221
2024-11-27,P019,14,2968
2024-04-15,P040,15,6545
2024-05-04,P021,5,1130
2024-09-18,P056,20,6858
2024-02-29,P050,7,960
2024-05-12,P031,1,66
2024-04-21,P034,9,1986
2024-11-02,P015,14,2813
2024-12-11,P069,7,2373
2024-02-26,P057,9,3749
2024-03-29,P004,3,932
2024-06-04,P040,9,4343
2024-01-14,P063,1,345
2024-11-02,P010,16,2787
2024-06-13,P004,8,2156
2024-02-25,P004,8,3127
2024-11-25,P042,8,3334
2024-02-05,P094,7,572
2024-07-21,P089,9,2183
2024-11-06,P002,4,1585
2024-05-09,P086,15,5067
2024-05-08,P049,9,3924
2024-09-29,P093,13,6239
2024-11-22,P005,11,5264
2024-07-06,P003,9,92
2024-07-05,P007,9,1805
2024-10-08,P049,7,1939
2024-05-15,P077,9,2947
2024-04-14,P021,7,814
2024-05-01,P099,15,7087
2024-05-20,P004,17,387
2024-09-11,P058,10,2798
2024-03-09,P072,6,867
2024-07-21,P013,13,5389
2024-11-18,P069,16,2430
2024-07-29,P061,12,691
2024-05-30,P027,10,810
2024-08-23,P094,1,329
2024-12-27,P030,6,2819
2024-09-20,P074,5,1925
2024-02-02,P052,14,2911
2024-03-28,P055,4,332
2024-08-22,P091,11,2701
2024-03-15,P035,13,1277
2024-09-05,P019,14,3032
2024-07-09,P057,15,5041
